SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
4,2,4,3,3,5,3,3,1,2,2,2,5,4,4,1,3,4,2,5,5,70,80,85,40,100,85,80,25,3,3,3
4,2,4,3,2,4,4,4,3,2,3,4,5,4,3,4,4,5,1,5,5,85,75,85,60,90,80,70,66,4,3,3
4,4,4,3,2,5,5,5,4,2,3,4,5,4,4,3,4,4,2,2,5,86,87,95,100,94,91,85,88,4,4,4
3,2,3,4,4,5,3,2,1,4,2,3,4,3,3,3,5,5,3,3,3,100,74,72,100,73,73,73,72,4,3,3
4,4,4,3,1,4,5,4,3,2,5,5,4,3,4,3,3,4,2,4,4,80,80,80,82,96,94,91,85,4,4,4
3,2,4,3,2,5,3,4,3,2,4,5,5,5,5,3,5,5,4,4,4,90,90,75,90,100,100,90,75,4,4,4
5,5,5,2,2,4,4,4,4,3,4,4,5,5,5,5,5,5,2,4,4,100,90,99,91,98,100,100,100,4,4,4
5,4,4,2,2,4,3,5,4,2,3,4,5,4,2,1,2,4,3,2,4,100,90,100,100,100,100,100,90,4,3,4
5,3,4,2,1,4,3,3,3,2,3,4,4,3,2,2,4,4,3,4,4,30,46,55,70,77,60,47,68,3,3,3
4,2,4,2,1,3,4,4,3,3,3,4,5,2,3,2,2,5,1,4,4,85,80,80,90,80,70,90,70,4,4,3
4,3,4,3,2,5,4,5,4,4,4,5,5,5,5,3,3,4,2,5,4,92,71,100,100,100,92,100,93,4,3,4
5,3,4,2,2,4,3,5,3,3,4,5,5,4,4,3,5,5,2,5,5,90,90,90,80,95,80,90,70,4,3,3
4,3,4,4,2,4,3,4,5,3,2,4,4,4,3,5,5,5,3,4,5,70,65,85,70,95,80,55,95,4,4,4
4,3,4,2,2,3,4,4,4,1,4,3,4,4,4,4,4,2,4,4,4,90,85,75,60,70,73,70,65,3,3,3
3,3,2,3,3,4,3,2,3,3,2,4,4,3,4,3,4,4,4,4,4,,,,,,,,,4,4,4
3,2,4,3,3,5,4,5,3,4,1,3,4,2,5,2,3,4,5,4,5,82,59,48,1,100,18,100,8,3,2,3
2,2,3,3,5,5,2,3,2,2,2,3,2,2,3,4,4,4,5,2,4,,,,,,,,,3,3,3
4,3,4,4,2,4,3,4,3,2,4,4,4,3,4,2,3,4,4,4,4,,,,,,,,,3,3,3
2,3,3,3,3,3,3,5,3,2,1,1,5,5,5,5,2,5,3,3,3,85,100,100,63,89,53,59,85,4,3,2
4,3,4,2,1,3,3,4,4,2,3,4,5,5,4,5,4,5,2,4,4,81,90,80,85,95,90,65,70,3,2,3
4,3,4,4,4,5,3,2,2,2,3,4,5,4,4,4,3,4,2,5,5,70,90,100,50,100,50,50,30,3,3,4
4,3,4,2,2,3,3,4,4,2,3,5,5,4,2,4,2,2,2,4,4,45,15,75,61,64,51,60,56,3,3,3
3,2,2,4,4,5,3,3,3,3,3,3,4,5,5,5,3,3,4,3,4,71,80,81,50,90,75,80,84,3,3,3
3,2,3,3,3,4,3,4,3,2,3,3,4,4,4,3,4,4,2,4,4,71,81,80,65,90,70,85,85,4,3,3
5,3,4,3,3,4,4,4,3,3,4,4,5,4,5,2,4,3,1,4,4,,,,,,,,,4,4,4
3,2,3,5,4,5,3,4,2,1,1,3,3,3,4,4,2,3,4,2,3,31,53,62,40,55,31,28,38,4,4,4
3,3,2,3,3,4,3,5,1,4,5,4,4,4,5,4,4,5,4,5,5,,,,,,,,,4,4,4
4,4,4,3,2,3,3,5,4,3,4,5,5,3,4,4,3,4,2,3,4,,,,,,,,,3,3,3
4,3,3,3,3,4,3,3,2,3,3,4,4,2,3,4,4,4,4,4,4,,,,,,,,,4,4,4
3,3,4,3,4,5,3,2,2,5,2,2,5,3,4,4,3,4,4,4,3,35,36,74,51,80,100,63,25,3,4,3
4,2,4,3,3,4,4,4,3,5,3,5,4,4,4,3,4,4,4,3,4,83,85,83,70,82,82,71,66,4,4,4
4,4,4,2,1,4,5,4,3,3,4,5,5,5,5,5,5,5,2,4,4,85,85,100,50,100,50,80,50,4,4,4
2,2,2,3,4,4,1,3,2,3,2,3,3,4,5,2,2,4,5,4,3,67,53,100,38,94,45,100,65,4,3,3
3,2,3,2,3,4,2,3,2,3,4,4,4,3,3,3,5,4,3,5,5,,10,60,10,50,50,10,0,3,3,3
4,3,4,4,2,4,3,4,4,2,3,4,5,2,2,2,4,4,3,4,4,90,81,74,92,75,74,89,35,3,3,3
4,4,4,4,2,5,5,4,4,2,4,5,3,2,1,1,4,5,5,5,5,60,50,50,100,100,39,20,100,3,2,2
4,5,4,4,4,4,4,4,3,1,2,2,5,3,2,1,3,4,3,4,4,,,,,,,,,4,4,4
5,4,4,2,2,3,3,4,2,3,3,5,5,4,4,3,4,5,3,4,5,85,71,89,94,98,79,86,74,4,4,4
4,4,4,3,1,5,4,4,2,2,4,4,5,5,4,3,4,3,1,4,4,90,75,100,70,100,92,76,85,4,4,4
